repo_name,repo_url,login,profile_url,location,country
gitignore,https://github.com/github/gitignore,aruanoguate,https://github.com/aruanoguate,Guatemala City,Guatemala
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,twajothi,https://github.com/twajothi,New York ,United States
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,Platiplus,https://github.com/Platiplus,Brazil,Brazil
vue,https://github.com/vuejs/vue,Alex-Sokolov,https://github.com/Alex-Sokolov,"Krasnodar, Russia",Russia
gitignore,https://github.com/github/gitignore,shana,https://github.com/shana,"Amsterdam, NL",Netherlands
free-programming-books,https://github.com/EbookFoundation/free-programming-books,UrakFerraz,https://github.com/UrakFerraz,São Paulo,Brazil
vue,https://github.com/vuejs/vue,yantene,https://github.com/yantene,"Tokyo, JAPAN",Japan
vscode,https://github.com/microsoft/vscode,hermannloose,https://github.com/hermannloose,"Munich, Germany",Germany
gitignore,https://github.com/github/gitignore,SamWhited,https://github.com/SamWhited,"Atlanta, GA",Gabon
vscode,https://github.com/microsoft/vscode,thegecko,https://github.com/thegecko,"Cambridge, UK",United Kingdom
gitignore,https://github.com/github/gitignore,katexochen,https://github.com/katexochen,Germany,Germany
free-programming-books,https://github.com/EbookFoundation/free-programming-books,TheSooth,https://github.com/TheSooth,"New York, USA",United States
project-based-learning,https://github.com/practical-tutorials/project-based-learning,tuvtran,https://github.com/tuvtran,"San Francisco, CA",Canada
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,PanSem,https://github.com/PanSem,Greece,Greece
gitignore,https://github.com/github/gitignore,nagilson,https://github.com/nagilson,Puget Sound,United States
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,ccheney,https://github.com/ccheney,mpls,United Kingdom
gitignore,https://github.com/github/gitignore,nysa,https://github.com/nysa,Chicago,United States
awesome,https://github.com/sindresorhus/awesome,ErikBoesen,https://github.com/ErikBoesen,NYC,United States
vscode,https://github.com/microsoft/vscode,wistcc,https://github.com/wistcc,Sweden,Sweden
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,PhilipAD,https://github.com/PhilipAD,Manchester,United Kingdom
awesome,https://github.com/sindresorhus/awesome,kusma,https://github.com/kusma,"Oslo, Norway",Norway
vscode,https://github.com/microsoft/vscode,ArtemGovorov,https://github.com/ArtemGovorov,"Gold Coast, Australia",Australia
vue,https://github.com/vuejs/vue,dejour,https://github.com/dejour,82 Place Notre Dame du Mont,France
free-programming-books,https://github.com/EbookFoundation/free-programming-books,sudoShikhar,https://github.com/sudoShikhar,Chandigarh,India
awesome,https://github.com/sindresorhus/awesome,ledell,https://github.com/ledell,"Oakland, California, USA",United States
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,alexandear,https://github.com/alexandear,"Ukraine, Kyiv",Ukraine
gitignore,https://github.com/github/gitignore,pedrosanta,https://github.com/pedrosanta,"Coimbra, Portugal",Portugal
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,dillweed,https://github.com/dillweed,USA,United States
awesome,https://github.com/sindresorhus/awesome,iRowebot,https://github.com/iRowebot,"San Diego, CA",Canada
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,tesla59,https://github.com/tesla59,"Surat, GJ",India
vscode,https://github.com/microsoft/vscode,gayanper,https://github.com/gayanper,"Oslo, Norway",Norway
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,hdkiller,https://github.com/hdkiller,Budapest,Argentina
awesome,https://github.com/sindresorhus/awesome,horverno,https://github.com/horverno,Hungary,Hungary
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,nmonastyrskyi,https://github.com/nmonastyrskyi,"Kharkiv, Ukraine",Ukraine
vscode,https://github.com/microsoft/vscode,dgozman,https://github.com/dgozman,"Sunnyvale, CA",Canada
gitignore,https://github.com/github/gitignore,rcmaehl,https://github.com/rcmaehl,"Louisville, KY",Cayman Islands
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,kbarnard10,https://github.com/kbarnard10,"Reno, NV",United States
awesome,https://github.com/sindresorhus/awesome,lyqht,https://github.com/lyqht,Singapore,Singapore
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,de1ay,https://github.com/de1ay,"Antalya, Turkey",Turkey
vscode,https://github.com/microsoft/vscode,GustavoASC,https://github.com/GustavoASC,Brazil,Brazil
gitignore,https://github.com/github/gitignore,rogersuen,https://github.com/rogersuen,Beijing,China
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,primaryobjects,https://github.com/primaryobjects,Philadelphia,United States
awesome,https://github.com/sindresorhus/awesome,eug,https://github.com/eug,"São Paulo, Brazil",Brazil
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,nicholasss,https://github.com/nicholasss,East Coast,Argentina
vue,https://github.com/vuejs/vue,zephraph,https://github.com/zephraph,"Brooklyn, NY",United States
gitignore,https://github.com/github/gitignore,samskiter,https://github.com/samskiter,"Cambridge, UK",United Kingdom
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,mikekelly,https://github.com/mikekelly,"Dubai, UAE",الإمارات العربية المتحدة
free-programming-books,https://github.com/EbookFoundation/free-programming-books,fosslinux,https://github.com/fosslinux,Australia,Australia
awesome,https://github.com/sindresorhus/awesome,yyx990803,https://github.com/yyx990803,Singapore,Singapore
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,NAJIB-B,https://github.com/NAJIB-B,Nigeria ,Nigeria
vue,https://github.com/vuejs/vue,xdamman,https://github.com/xdamman,Brussels,Belgium
awesome,https://github.com/sindresorhus/awesome,faroit,https://github.com/faroit,"Frankfurt, Germany",Germany
vscode,https://github.com/microsoft/vscode,ryu1kn,https://github.com/ryu1kn,"Melbourne, Australia",Australia
vue,https://github.com/vuejs/vue,felixbuenemann,https://github.com/felixbuenemann,Germany,Germany
gitignore,https://github.com/github/gitignore,SamyPesse,https://github.com/SamyPesse,Amsterdam,Netherlands
free-programming-books,https://github.com/EbookFoundation/free-programming-books,sajjadrahman56,https://github.com/sajjadrahman56,"Sylhet ,Bangladesh",Bangladesh
awesome,https://github.com/sindresorhus/awesome,fasouto,https://github.com/fasouto,Vigo,Spain
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,aantn,https://github.com/aantn,Israel,Israel
vscode,https://github.com/microsoft/vscode,mymikemiller,https://github.com/mymikemiller,"Austin, TX",United States
vue,https://github.com/vuejs/vue,KingMario,https://github.com/KingMario,Shanghai,China
free-programming-books,https://github.com/EbookFoundation/free-programming-books,sahitya-pavurala,https://github.com/sahitya-pavurala,United States,United States
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,Muriyoku,https://github.com/Muriyoku,Brazil ,Brazil
vue,https://github.com/vuejs/vue,privatenumber,https://github.com/privatenumber,"Tokyo, Japan",Japan
awesome,https://github.com/sindresorhus/awesome,fffaraz,https://github.com/fffaraz,San Francisco Bay Area,United States
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,himanshurajora,https://github.com/himanshurajora,"Dortmund, Germany",Germany
vscode,https://github.com/microsoft/vscode,auchenberg,https://github.com/auchenberg,"New York, US",United States
vue,https://github.com/vuejs/vue,eltociear,https://github.com/eltociear,"Tokyo, Japan",Japan
vscode,https://github.com/microsoft/vscode,HaoboGu,https://github.com/HaoboGu,Hangzhou,China
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,kreneskyp,https://github.com/kreneskyp,Oregon,United States
awesome,https://github.com/sindresorhus/awesome,filipelinhares,https://github.com/filipelinhares,Brasil,Brazil
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,gustavothecoder,https://github.com/gustavothecoder,Brazil,Brazil
gitignore,https://github.com/github/gitignore,spdegabrielle,https://github.com/spdegabrielle,"Ealing, UK",United Kingdom
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,gklab,https://github.com/gklab,HangZhou,China
awesome,https://github.com/sindresorhus/awesome,Friz-zy,https://github.com/Friz-zy,Poland,Poland
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,femincan,https://github.com/femincan,Turkiye,Turkey
vscode,https://github.com/microsoft/vscode,initialshl,https://github.com/initialshl,"Mountain View, CA",Canada
gitignore,https://github.com/github/gitignore,sayedihashimi,https://github.com/sayedihashimi,"Seattle, WA",United States
awesome,https://github.com/sindresorhus/awesome,ildoc,https://github.com/ildoc,Italy,Italy
vscode,https://github.com/microsoft/vscode,hamirmahal,https://github.com/hamirmahal,San Francisco Bay Area,United States
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,didier-durand,https://github.com/didier-durand,Switzerland / France,France
free-programming-books,https://github.com/EbookFoundation/free-programming-books,waltzbucks,https://github.com/waltzbucks,"Seoul, South Korea","Korea, Republic of"
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,feuvpi,https://github.com/feuvpi,United States,United States
gitignore,https://github.com/github/gitignore,meisam,https://github.com/meisam,California,United States
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,sagarishere,https://github.com/sagarishere,Åland,India
awesome,https://github.com/sindresorhus/awesome,airscripts,https://github.com/airscripts,Italy,Italy
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,eihabkhan,https://github.com/eihabkhan,"Rabat, Morocco",Morocco
vscode,https://github.com/microsoft/vscode,nknguyenhc,https://github.com/nknguyenhc,Singapore,Singapore
gitignore,https://github.com/github/gitignore,mviranyi,https://github.com/mviranyi,Berlin,Germany
awesome,https://github.com/sindresorhus/awesome,frenck,https://github.com/frenck,"Enschede, The Netherlands",Netherlands
vue,https://github.com/vuejs/vue,bluemsn,https://github.com/bluemsn,HangZhou,China
gitignore,https://github.com/github/gitignore,kevmoo,https://github.com/kevmoo,"Seattle, WA, USA",United States
free-programming-books,https://github.com/EbookFoundation/free-programming-books,c02kr,https://github.com/c02kr,INDIA,India
awesome,https://github.com/sindresorhus/awesome,briatte,https://github.com/briatte,"Lille / Paris, France",France
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,esa-kian,https://github.com/esa-kian,Finland,Finland
gitignore,https://github.com/github/gitignore,kkostrzewa-coupa,https://github.com/kkostrzewa-coupa,"Kalamazoo, Michigan, USA",United States
awesome,https://github.com/sindresorhus/awesome,francoism90,https://github.com/francoism90,Netherlands,Netherlands
vscode,https://github.com/microsoft/vscode,mjcrouch,https://github.com/mjcrouch,"Surrey, UK",United Kingdom
gitignore,https://github.com/github/gitignore,saschanaz,https://github.com/saschanaz,"Berlin, Germany",Germany
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,gersh,https://github.com/gersh,"San Francisco, CA",Canada
free-programming-books,https://github.com/EbookFoundation/free-programming-books,alinadir44,https://github.com/alinadir44,Karachi,پاکستان
awesome,https://github.com/sindresorhus/awesome,ForNeVeR,https://github.com/ForNeVeR,Netherlands,Netherlands
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,uinstinct,https://github.com/uinstinct,India,India
vscode,https://github.com/microsoft/vscode,RishabhKothaari,https://github.com/RishabhKothaari,Redmond,United States
vue,https://github.com/vuejs/vue,sandersn,https://github.com/sandersn,Seattle,United States
gitignore,https://github.com/github/gitignore,jean,https://github.com/jean,Bangkok,Italy
awesome,https://github.com/sindresorhus/awesome,davidsonfellipe,https://github.com/davidsonfellipe,"New York, NY",United States
vue,https://github.com/vuejs/vue,pi0,https://github.com/pi0,Netherlands,Netherlands
gitignore,https://github.com/github/gitignore,fidmor89,https://github.com/fidmor89,Guatemala,Guatemala
free-programming-books,https://github.com/EbookFoundation/free-programming-books,shabab477,https://github.com/shabab477,"Amsterdam, Netherlands",Netherlands
awesome,https://github.com/sindresorhus/awesome,deanhume,https://github.com/deanhume,Devon,United Kingdom
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,JayaramRangaraj,https://github.com/JayaramRangaraj,India,India
vscode,https://github.com/microsoft/vscode,smcenlly,https://github.com/smcenlly,"Gold Coast, Australia",Australia
gitignore,https://github.com/github/gitignore,DenJohX,https://github.com/DenJohX,Guatemala,Guatemala
stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,galekseev,https://github.com/galekseev,"Montevideo, Uruguay",Uruguay
vscode,https://github.com/microsoft/vscode,rudi-c,https://github.com/rudi-c,NYC,United States
gitignore,https://github.com/github/gitignore,denisdefreyne,https://github.com/denisdefreyne,"Berlin, Germany",Germany
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,eltociear,https://github.com/eltociear,"Tokyo, Japan",Japan
free-programming-books,https://github.com/EbookFoundation/free-programming-books,Navninja7,https://github.com/Navninja7,Hyderabad,India
vscode,https://github.com/microsoft/vscode,robertrossmann,https://github.com/robertrossmann,"Staříč, Czech Republic",Czechia
gitignore,https://github.com/github/gitignore,habi,https://github.com/habi,"Bern, Switzerland",Switzerland
free-programming-books,https://github.com/EbookFoundation/free-programming-books,natehefner,https://github.com/natehefner,"Baltimore, Maryland",United States
awesome,https://github.com/sindresorhus/awesome,shi-rudo,https://github.com/shi-rudo,"Cologne, Tokyo, Valencia",Spain
vscode,https://github.com/microsoft/vscode,susiwen8,https://github.com/susiwen8,Hangzhou,China
vue,https://github.com/vuejs/vue,fnlctrl,https://github.com/fnlctrl,Zhejiang University,中国
gitignore,https://github.com/github/gitignore,exalted,https://github.com/exalted,Italy,Italy
free-programming-books,https://github.com/EbookFoundation/free-programming-books,NamanSoni18,https://github.com/NamanSoni18,Raipur,India
vue,https://github.com/vuejs/vue,imyzf,https://github.com/imyzf,Hangzhou,China
gitignore,https://github.com/github/gitignore,acelaya,https://github.com/acelaya,"Zaragoza, Spain",Spain
free-programming-books,https://github.com/EbookFoundation/free-programming-books,jarvis8,https://github.com/jarvis8,New Delhi,India
stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,hotdogee,https://github.com/hotdogee,"Taipei, Taiwan",Taiwan
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,whoismtrx,https://github.com/whoismtrx,"Sale, Morocco",Morocco
vscode,https://github.com/microsoft/vscode,manjrekarom,https://github.com/manjrekarom,India,India
vue,https://github.com/vuejs/vue,dsonet,https://github.com/dsonet,"Fullerton, California",United States
awesome,https://github.com/sindresorhus/awesome,dspinellis,https://github.com/dspinellis,"Athens, Greece",Greece
stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Hao-Wu,https://github.com/Hao-Wu,Beijing,China
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,afzalimdad9,https://github.com/afzalimdad9,"Karachi, Pakistan",Pakistan
vscode,https://github.com/microsoft/vscode,njkevlani,https://github.com/njkevlani,India,India
free-programming-books,https://github.com/EbookFoundation/free-programming-books,thanapoom21,https://github.com/thanapoom21,"Las Vegas, Nevada",United States
awesome,https://github.com/sindresorhus/awesome,kolomied,https://github.com/kolomied,"London, UK",United Kingdom
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,Akshay-Jagiasi,https://github.com/Akshay-Jagiasi,Mumbai,India
vscode,https://github.com/microsoft/vscode,mkhuzaima,https://github.com/mkhuzaima,"Lahore, Punjab, Pakistan.",پاکستان
computer-science,https://github.com/ossu/computer-science,QtRoS,https://github.com/QtRoS,Россия,Россия
gitignore,https://github.com/github/gitignore,sebgod,https://github.com/sebgod,"Melbourne, VIC",Australia
free-programming-books,https://github.com/EbookFoundation/free-programming-books,mhrabiee,https://github.com/mhrabiee,Tehran,ایران
awesome,https://github.com/sindresorhus/awesome,zudochkin,https://github.com/zudochkin,"Moscow, Russian Federation",Russia
stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,rick68,https://github.com/rick68,"Kaohsiung, Taiwan",Taiwan
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,adnanvaldes,https://github.com/adnanvaldes,"Zagreb, Croatia",Croatia
vscode,https://github.com/microsoft/vscode,IanMatthewHuff,https://github.com/IanMatthewHuff,"Kirkland, WA",United States
vue,https://github.com/vuejs/vue,dwelch2344,https://github.com/dwelch2344,"Salt Lake City, Utah",United States
free-programming-books,https://github.com/EbookFoundation/free-programming-books,moazamdev,https://github.com/moazamdev,"Karachi, Pakistan",Pakistan
awesome,https://github.com/sindresorhus/awesome,domenicosolazzo,https://github.com/domenicosolazzo,Oslo,Norway
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,albindavidc,https://github.com/albindavidc,"Kerala, India",India
gitignore,https://github.com/github/gitignore,tnm,https://github.com/tnm,California,United States
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,bituq,https://github.com/bituq,The Netherlands,Netherlands
free-programming-books,https://github.com/EbookFoundation/free-programming-books,MinHan-Kyaw,https://github.com/MinHan-Kyaw,Thailand,Thailand
awesome,https://github.com/sindresorhus/awesome,donnemartin,https://github.com/donnemartin,"Washington, D.C.",United States
stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,jordenyt,https://github.com/jordenyt,Hong Kong,Hong Kong
vscode,https://github.com/microsoft/vscode,ChrisPapp,https://github.com/ChrisPapp,"Athens, Greece",Greece
gitignore,https://github.com/github/gitignore,OsirisTerje,https://github.com/OsirisTerje,"Oslo, Norway",Norway
free-programming-books,https://github.com/EbookFoundation/free-programming-books,mdbrnowski,https://github.com/mdbrnowski,"Kraków, Poland",Poland
awesome,https://github.com/sindresorhus/awesome,driesvints,https://github.com/driesvints,Belgium,Belgium
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,abpanic,https://github.com/abpanic,India,India
vscode,https://github.com/microsoft/vscode,laphets,https://github.com/laphets,"Savoy, IL",United States
gitignore,https://github.com/github/gitignore,scop,https://github.com/scop,Finland,Finland
free-programming-books,https://github.com/EbookFoundation/free-programming-books,melanga,https://github.com/melanga,Sri Lanka,Sri Lanka
awesome,https://github.com/sindresorhus/awesome,dylanrees,https://github.com/dylanrees,"Troy, NY, USA",United States
stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,morgil,https://github.com/morgil,Karlsruhe,Germany
gitignore,https://github.com/github/gitignore,fulldecent,https://github.com/fulldecent,Philadelphia USA,United States
free-programming-books,https://github.com/EbookFoundation/free-programming-books,meetps,https://github.com/meetps,"Mountain View, CA",Canada
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,amitmerchant1990,https://github.com/amitmerchant1990,"Surat, Gujarat, India.",India
vscode,https://github.com/microsoft/vscode,danielfrankcom,https://github.com/danielfrankcom,"Victoria, BC",Canada
gitignore,https://github.com/github/gitignore,fhemberger,https://github.com/fhemberger,"Cologne, Germany",Germany
free-programming-books,https://github.com/EbookFoundation/free-programming-books,raihaninfo,https://github.com/raihaninfo,"Kushtia, Bangladesh",Bangladesh
bootstrap,https://github.com/twbs/bootstrap,cvrebert,https://github.com/cvrebert,"SF Bay Area, California, USA",United States
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,anu-codes,https://github.com/anu-codes,India,India
gitignore,https://github.com/github/gitignore,thurask,https://github.com/thurask,Toronto,Canada
free-programming-books,https://github.com/EbookFoundation/free-programming-books,mateus-fernandes20,https://github.com/mateus-fernandes20,"Ceará, Brazil",Brazil
vue,https://github.com/vuejs/vue,chrisvfritz,https://github.com/chrisvfritz,"Durham, NC, USA",United States
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,architxkumar,https://github.com/architxkumar,India,India
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,Androbin,https://github.com/Androbin,Germany,Germany
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,naruto-onedev,https://github.com/naruto-onedev,Malaya,Indonesia
vue,https://github.com/vuejs/vue,clarkdo,https://github.com/clarkdo,"Dublin, Ireland",Ireland
gitignore,https://github.com/github/gitignore,peat,https://github.com/peat,"Portland, OR",United States
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,OmriGM,https://github.com/OmriGM,Israel,Israel
free-programming-books,https://github.com/EbookFoundation/free-programming-books,lluang,https://github.com/lluang,"Pittsburgh, PA",Panama
awesome,https://github.com/sindresorhus/awesome,eminyagiz42,https://github.com/eminyagiz42,"Auckland, NZ",New Zealand
vscode,https://github.com/microsoft/vscode,dsanders11,https://github.com/dsanders11,"Santa Barbara, CA",Canada
gitignore,https://github.com/github/gitignore,oschrenk,https://github.com/oschrenk,"Haarlem, Netherlands",Netherlands
awesome,https://github.com/sindresorhus/awesome,hantuzun,https://github.com/hantuzun,a pale blue dot,France
stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,jamesmoore,https://github.com/jamesmoore,Westmorland,United States
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,HdJex,https://github.com/HdJex,india,India
vscode,https://github.com/microsoft/vscode,karthiknadig,https://github.com/karthiknadig,Redmond,United States
gitignore,https://github.com/github/gitignore,mkutyba,https://github.com/mkutyba,"Swidnica, Poland",Poland
awesome,https://github.com/sindresorhus/awesome,innocenzi,https://github.com/innocenzi,France,France
vscode,https://github.com/microsoft/vscode,plainerman,https://github.com/plainerman,"Berlin, Germany",Germany
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,AlrikOlson,https://github.com/AlrikOlson,"Portland, OR",United States
free-programming-books,https://github.com/EbookFoundation/free-programming-books,kreativmonkey,https://github.com/kreativmonkey,Germany,Germany
awesome,https://github.com/sindresorhus/awesome,eric-hc,https://github.com/eric-hc,"Raleigh, NC",New Caledonia
vue,https://github.com/vuejs/vue,KaelWD,https://github.com/KaelWD,"Melbourne, Australia",Australia
stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,ibrahimsn98,https://github.com/ibrahimsn98,"Ankara, Turkey",Turkey
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,CodeZeno,https://github.com/CodeZeno,Australia,Australia
awesome-python,https://github.com/vinta/awesome-python,hdashk,https://github.com/hdashk,"San Francisco, CA",Canada
coding-interview-university,https://github.com/jwasham/coding-interview-university,ajoneshs,https://github.com/ajoneshs,"New York, NY",United States
public-apis,https://github.com/public-apis/public-apis,anghelvalentin,https://github.com/anghelvalentin,"Bucharest, Romania",Romania
react,https://github.com/facebook/react,misoguy,https://github.com/misoguy,"Seoul, Korea","Korea, Republic of"
react,https://github.com/facebook/react,skiritsis,https://github.com/skiritsis,"Athens, Greece",Greece
