repo_name,repo_url,login,profile_url,location,country,prs_opened,prs_merged,pr_accept_rate,avg_time_to_merge,commits_total,issues_opened,stars_own_repos,contribution_period,activity_frequency,pr_requested_as_reviewer_rate
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,keenborder786,https://github.com/keenborder786,Lahore,پاکستان,1,0,0.0,3.05,0,0,9727,54,0.0,2.33
free-programming-books,https://github.com/EbookFoundation/free-programming-books,anubhav-qt,https://github.com/anubhav-qt,"Rajasthan, India",India,63,31,49.21,7.52,38,33,8390,49,0.78,37.57
Python,https://github.com/TheAlgorithms/Python,MaximSmolskiy,https://github.com/MaximSmolskiy,"Saint-Petersburg, Russia",Russia,149,28,18.79,2.72,91,50,575,37,2.46,13.65
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,mhasanmeet,https://github.com/mhasanmeet,"Khilkhet, Dhaka",Germany,70,38,54.29,2.59,149,31,4988,35,4.26,46.69
gitignore,https://github.com/github/gitignore,Visgean,https://github.com/Visgean,Prague,Spain,46,26,56.52,5.19,86,18,4407,52,1.65,22.08
vscode,https://github.com/microsoft/vscode,lifez,https://github.com/lifez,Thailand,Thailand,110,60,54.55,5.83,233,17,9798,33,7.06,22.34
vue,https://github.com/vuejs/vue,eddyerburgh,https://github.com/eddyerburgh,London,United Kingdom,70,31,44.29,6.93,75,0,3175,20,3.75,37.74
free-programming-books,https://github.com/EbookFoundation/free-programming-books,Misterhex,https://github.com/Misterhex,Singapore,Singapore,16,2,12.5,6.41,4,25,3698,4,1.0,33.17
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,Unkn0wnCat,https://github.com/Unkn0wnCat,Germany,Germany,66,22,33.33,2.82,69,28,3957,1,69.0,49.95
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,mahanmashoof,https://github.com/mahanmashoof,"Stockholm, Sweden",Sweden,119,33,27.73,10.97,43,46,3720,22,1.95,7.33
vue,https://github.com/vuejs/vue,despreston,https://github.com/despreston,Boston,United States,39,17,43.59,6.78,78,23,2050,22,3.55,24.11
gitignore,https://github.com/github/gitignore,wmarquardt,https://github.com/wmarquardt,Brazil,Brazil,148,75,50.68,13.78,106,46,3439,26,4.08,30.02
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,chozzz,https://github.com/chozzz,Bali,Indonesia,54,12,22.22,2.34,39,14,4224,9,4.33,34.86
free-programming-books,https://github.com/EbookFoundation/free-programming-books,yfancc20,https://github.com/yfancc20,Taiwan,Taiwan,41,14,34.15,6.78,64,14,2895,12,5.33,5.1
vue,https://github.com/vuejs/vue,danielroe,https://github.com/danielroe,"Edinburgh, UK",United Kingdom,60,14,23.33,10.19,66,49,871,1,66.0,7.13
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,SBNovaScript,https://github.com/SBNovaScript,"Trumbull, CT",United States,54,16,29.63,13.13,20,13,7303,1,20.0,11.66
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,jorgeegomez,https://github.com/jorgeegomez,"Bogotá, Colombia",Colombia,51,7,13.73,9.04,24,32,8738,18,1.33,6.39
vscode,https://github.com/microsoft/vscode,LuanVSO,https://github.com/LuanVSO,Brasil,Brazil,125,70,56.0,8.95,76,17,3590,29,2.62,37.64
gitignore,https://github.com/github/gitignore,vvolkgang,https://github.com/vvolkgang,Portugal,Portugal,30,15,50.0,13.32,51,42,8853,2,25.5,14.79
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,m1guelpf,https://github.com/m1guelpf,"Lisbon, Portugal",Portugal,92,39,42.39,4.58,75,6,8019,43,1.74,23.18
public-apis,https://github.com/public-apis/public-apis,toddmotto,https://github.com/toddmotto,"England, UK",United Kingdom,41,27,65.85,4.41,68,13,2383,41,1.66,32.38
vscode,https://github.com/microsoft/vscode,jswillard,https://github.com/jswillard,"Boulder, CO",Colombia,110,66,60.0,7.65,170,16,2175,34,5.0,31.78
gitignore,https://github.com/github/gitignore,ericoporto,https://github.com/ericoporto,Rio de Janeiro,Brazil,147,4,2.72,3.48,18,39,7679,59,0.31,33.89
free-programming-books,https://github.com/EbookFoundation/free-programming-books,w4h4z,https://github.com/w4h4z,Indonesia,Indonesia,21,11,52.38,0.81,21,6,8352,24,0.88,48.2
gitignore,https://github.com/github/gitignore,lszeremeta,https://github.com/lszeremeta,Poland,Poland,93,10,10.75,9.69,11,8,191,26,0.42,31.89
free-programming-books,https://github.com/EbookFoundation/free-programming-books,virendrachandak,https://github.com/virendrachandak,Los Angeles,United States,10,6,60.0,9.22,13,19,6841,31,0.42,41.44
public-apis,https://github.com/public-apis/public-apis,mikestreety,https://github.com/mikestreety,"Brighton, UK",United Kingdom,148,86,58.11,7.68,212,9,9561,23,9.22,44.53
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,rishabhv2003,https://github.com/rishabhv2003,India,India,1,0,0.0,7.62,0,19,7695,25,0.0,16.26
vscode,https://github.com/microsoft/vscode,jasongin,https://github.com/jasongin,"Honolulu, Hawaii, USA",United States,145,97,66.9,5.91,443,28,3373,37,11.97,11.39
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,bsenst,https://github.com/bsenst,Berlin-Brandenburg,Germany,66,39,59.09,5.05,191,18,3294,36,5.31,39.39
free-programming-books,https://github.com/EbookFoundation/free-programming-books,vedant-z,https://github.com/vedant-z,India,India,74,26,35.14,5.39,125,42,6029,13,9.62,25.68
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,Rancho-rachit,https://github.com/Rancho-rachit,Indore,India,56,2,3.57,1.22,3,1,2399,48,0.06,47.0
vue,https://github.com/vuejs/vue,bartlomieju,https://github.com/bartlomieju,"Warsaw, PL",Poland,98,48,48.98,3.49,238,10,6398,43,5.53,35.99
gitignore,https://github.com/github/gitignore,aruanoguate,https://github.com/aruanoguate,Guatemala City,Guatemala,48,10,20.83,13.29,23,18,7405,18,1.28,21.3
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,twajothi,https://github.com/twajothi,New York ,United States,101,0,0.0,11.26,0,2,170,20,0.0,19.82
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,Platiplus,https://github.com/Platiplus,Brazil,Brazil,6,3,50.0,3.31,14,9,5071,20,0.7,38.68
vue,https://github.com/vuejs/vue,Alex-Sokolov,https://github.com/Alex-Sokolov,"Krasnodar, Russia",Russia,143,113,79.02,8.21,466,12,7684,33,14.12,31.51
gitignore,https://github.com/github/gitignore,shana,https://github.com/shana,"Amsterdam, NL",Netherlands,72,5,6.94,7.04,18,50,380,39,0.46,45.92
free-programming-books,https://github.com/EbookFoundation/free-programming-books,UrakFerraz,https://github.com/UrakFerraz,São Paulo,Brazil,75,58,77.33,13.16,239,42,5992,41,5.83,0.72
vue,https://github.com/vuejs/vue,yantene,https://github.com/yantene,"Tokyo, JAPAN",Japan,90,62,68.89,11.5,245,17,7132,37,6.62,45.71
vscode,https://github.com/microsoft/vscode,hermannloose,https://github.com/hermannloose,"Munich, Germany",Germany,55,44,80.0,13.47,103,34,8996,57,1.81,6.54
gitignore,https://github.com/github/gitignore,SamWhited,https://github.com/SamWhited,"Atlanta, GA",Gabon,147,3,2.04,9.4,9,27,1439,36,0.25,37.01
vscode,https://github.com/microsoft/vscode,thegecko,https://github.com/thegecko,"Cambridge, UK",United Kingdom,114,11,9.65,8.51,45,32,7291,18,2.5,17.74
gitignore,https://github.com/github/gitignore,katexochen,https://github.com/katexochen,Germany,Germany,104,65,62.5,4.81,174,32,6472,11,15.82,7.49
free-programming-books,https://github.com/EbookFoundation/free-programming-books,TheSooth,https://github.com/TheSooth,"New York, USA",United States,12,8,66.67,12.12,32,17,9965,41,0.78,14.91
project-based-learning,https://github.com/practical-tutorials/project-based-learning,tuvtran,https://github.com/tuvtran,"San Francisco, CA",Canada,60,22,36.67,3.89,73,38,2896,8,9.12,34.3
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,PanSem,https://github.com/PanSem,Greece,Greece,100,4,4.0,11.6,20,28,83,34,0.59,16.51
gitignore,https://github.com/github/gitignore,nagilson,https://github.com/nagilson,Puget Sound,United States,80,53,66.25,8.9,150,27,4909,38,3.95,23.85
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,ccheney,https://github.com/ccheney,mpls,United Kingdom,67,28,41.79,4.23,83,47,2007,43,1.93,21.3
gitignore,https://github.com/github/gitignore,nysa,https://github.com/nysa,Chicago,United States,48,11,22.92,2.06,32,2,3895,47,0.68,34.94
awesome,https://github.com/sindresorhus/awesome,ErikBoesen,https://github.com/ErikBoesen,NYC,United States,90,70,77.78,11.15,327,45,1149,41,7.98,2.12
vscode,https://github.com/microsoft/vscode,wistcc,https://github.com/wistcc,Sweden,Sweden,78,7,8.97,4.74,26,14,3550,24,1.08,35.73
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,PhilipAD,https://github.com/PhilipAD,Manchester,United Kingdom,103,0,0.0,1.86,0,32,5171,48,0.0,8.37
awesome,https://github.com/sindresorhus/awesome,kusma,https://github.com/kusma,"Oslo, Norway",Norway,87,61,70.11,3.11,193,0,510,5,38.6,40.53
vscode,https://github.com/microsoft/vscode,ArtemGovorov,https://github.com/ArtemGovorov,"Gold Coast, Australia",Australia,120,12,10.0,13.5,17,23,897,25,0.68,29.89
vue,https://github.com/vuejs/vue,dejour,https://github.com/dejour,82 Place Notre Dame du Mont,France,146,98,67.12,8.31,195,25,6122,3,65.0,6.04
free-programming-books,https://github.com/EbookFoundation/free-programming-books,sudoShikhar,https://github.com/sudoShikhar,Chandigarh,India,25,18,72.0,3.51,70,34,1335,33,2.12,3.84
awesome,https://github.com/sindresorhus/awesome,ledell,https://github.com/ledell,"Oakland, California, USA",United States,2,0,0.0,9.17,0,38,2669,49,0.0,0.86
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,alexandear,https://github.com/alexandear,"Ukraine, Kyiv",Ukraine,26,19,73.08,6.2,38,37,3400,53,0.72,13.97
gitignore,https://github.com/github/gitignore,pedrosanta,https://github.com/pedrosanta,"Coimbra, Portugal",Portugal,91,20,21.98,13.48,25,36,4344,3,8.33,23.9
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,dillweed,https://github.com/dillweed,USA,United States,19,15,78.95,7.2,48,35,6313,10,4.8,27.05
awesome,https://github.com/sindresorhus/awesome,iRowebot,https://github.com/iRowebot,"San Diego, CA",Canada,100,51,51.0,1.93,227,11,2151,47,4.83,45.84
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,tesla59,https://github.com/tesla59,"Surat, GJ",India,100,75,75.0,13.95,264,4,5210,32,8.25,5.51
vscode,https://github.com/microsoft/vscode,gayanper,https://github.com/gayanper,"Oslo, Norway",Norway,142,55,38.73,1.15,219,4,1341,58,3.78,43.17
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,hdkiller,https://github.com/hdkiller,Budapest,Argentina,59,43,72.88,8.8,198,14,971,12,16.5,29.04
awesome,https://github.com/sindresorhus/awesome,horverno,https://github.com/horverno,Hungary,Hungary,35,1,2.86,6.29,2,14,4661,53,0.04,27.75
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,nmonastyrskyi,https://github.com/nmonastyrskyi,"Kharkiv, Ukraine",Ukraine,130,89,68.46,8.67,142,1,6339,41,3.46,43.01
vscode,https://github.com/microsoft/vscode,dgozman,https://github.com/dgozman,"Sunnyvale, CA",Canada,13,4,30.77,5.35,15,10,1066,10,1.5,39.63
gitignore,https://github.com/github/gitignore,rcmaehl,https://github.com/rcmaehl,"Louisville, KY",Cayman Islands,2,0,0.0,5.97,0,49,9122,50,0.0,37.36
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,kbarnard10,https://github.com/kbarnard10,"Reno, NV",United States,105,5,4.76,12.33,7,44,8184,59,0.12,40.22
awesome,https://github.com/sindresorhus/awesome,lyqht,https://github.com/lyqht,Singapore,Singapore,142,107,75.35,3.69,324,36,4319,18,18.0,1.49
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,de1ay,https://github.com/de1ay,"Antalya, Turkey",Turkey,104,1,0.96,8.47,3,32,6782,53,0.06,13.11
vscode,https://github.com/microsoft/vscode,GustavoASC,https://github.com/GustavoASC,Brazil,Brazil,102,55,53.92,8.52,111,43,8951,59,1.88,24.36
gitignore,https://github.com/github/gitignore,rogersuen,https://github.com/rogersuen,Beijing,China,37,19,51.35,13.77,29,19,263,19,1.53,46.5
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,primaryobjects,https://github.com/primaryobjects,Philadelphia,United States,114,55,48.25,2.92,272,12,8743,19,14.32,30.24
awesome,https://github.com/sindresorhus/awesome,eug,https://github.com/eug,"São Paulo, Brazil",Brazil,89,24,26.97,1.11,74,18,2277,34,2.18,6.17
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,nicholasss,https://github.com/nicholasss,East Coast,Argentina,76,43,56.58,10.11,175,20,234,9,19.44,6.47
vue,https://github.com/vuejs/vue,zephraph,https://github.com/zephraph,"Brooklyn, NY",United States,115,49,42.61,1.64,243,24,2246,50,4.86,21.77
gitignore,https://github.com/github/gitignore,samskiter,https://github.com/samskiter,"Cambridge, UK",United Kingdom,49,19,38.78,8.56,35,17,8984,39,0.9,24.16
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,mikekelly,https://github.com/mikekelly,"Dubai, UAE",الإمارات العربية المتحدة,12,1,8.33,5.84,4,10,8045,53,0.08,7.91
free-programming-books,https://github.com/EbookFoundation/free-programming-books,fosslinux,https://github.com/fosslinux,Australia,Australia,94,63,67.02,13.35,115,5,2416,21,5.48,48.05
awesome,https://github.com/sindresorhus/awesome,yyx990803,https://github.com/yyx990803,Singapore,Singapore,88,19,21.59,5.11,68,2,8536,21,3.24,30.01
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,NAJIB-B,https://github.com/NAJIB-B,Nigeria ,Nigeria,17,7,41.18,2.93,18,3,2460,1,18.0,16.52
vue,https://github.com/vuejs/vue,xdamman,https://github.com/xdamman,Brussels,Belgium,23,6,26.09,10.21,22,17,6778,2,11.0,14.41
awesome,https://github.com/sindresorhus/awesome,faroit,https://github.com/faroit,"Frankfurt, Germany",Germany,39,15,38.46,2.52,61,45,2024,1,61.0,46.07
vscode,https://github.com/microsoft/vscode,ryu1kn,https://github.com/ryu1kn,"Melbourne, Australia",Australia,149,34,22.82,12.87,91,46,4541,59,1.54,14.05
vue,https://github.com/vuejs/vue,felixbuenemann,https://github.com/felixbuenemann,Germany,Germany,8,6,75.0,12.7,21,32,4345,45,0.47,34.05
gitignore,https://github.com/github/gitignore,SamyPesse,https://github.com/SamyPesse,Amsterdam,Netherlands,120,61,50.83,8.49,200,9,4976,3,66.67,46.4
free-programming-books,https://github.com/EbookFoundation/free-programming-books,sajjadrahman56,https://github.com/sajjadrahman56,"Sylhet ,Bangladesh",Bangladesh,110,67,60.91,2.49,114,13,9270,56,2.04,25.11
awesome,https://github.com/sindresorhus/awesome,fasouto,https://github.com/fasouto,Vigo,Spain,4,0,0.0,11.35,0,9,2664,27,0.0,25.97
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,aantn,https://github.com/aantn,Israel,Israel,112,27,24.11,9.67,73,32,7399,19,3.84,43.34
vscode,https://github.com/microsoft/vscode,mymikemiller,https://github.com/mymikemiller,"Austin, TX",United States,107,27,25.23,10.86,65,32,8735,10,6.5,41.2
vue,https://github.com/vuejs/vue,KingMario,https://github.com/KingMario,Shanghai,China,39,20,51.28,4.7,43,8,5274,13,3.31,44.95
free-programming-books,https://github.com/EbookFoundation/free-programming-books,sahitya-pavurala,https://github.com/sahitya-pavurala,United States,United States,135,86,63.7,8.02,181,35,5425,3,60.33,16.82
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,Muriyoku,https://github.com/Muriyoku,Brazil ,Brazil,59,35,59.32,10.44,82,32,2602,1,82.0,19.84
vue,https://github.com/vuejs/vue,privatenumber,https://github.com/privatenumber,"Tokyo, Japan",Japan,112,48,42.86,12.85,229,2,2105,35,6.54,14.96
awesome,https://github.com/sindresorhus/awesome,fffaraz,https://github.com/fffaraz,San Francisco Bay Area,United States,129,57,44.19,1.57,227,8,7743,21,10.81,35.84
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,himanshurajora,https://github.com/himanshurajora,"Dortmund, Germany",Germany,100,71,71.0,5.36,168,6,2232,26,6.46,24.04
vscode,https://github.com/microsoft/vscode,auchenberg,https://github.com/auchenberg,"New York, US",United States,76,45,59.21,12.63,66,16,3602,1,66.0,0.76
vue,https://github.com/vuejs/vue,eltociear,https://github.com/eltociear,"Tokyo, Japan",Japan,100,10,10.0,4.24,28,22,9680,51,0.55,46.57
vscode,https://github.com/microsoft/vscode,HaoboGu,https://github.com/HaoboGu,Hangzhou,China,91,59,64.84,4.71,111,13,9751,51,2.18,4.83
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,kreneskyp,https://github.com/kreneskyp,Oregon,United States,32,21,65.62,11.99,50,14,4532,51,0.98,8.23
awesome,https://github.com/sindresorhus/awesome,filipelinhares,https://github.com/filipelinhares,Brasil,Brazil,111,78,70.27,6.81,125,1,748,48,2.6,11.31
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,gustavothecoder,https://github.com/gustavothecoder,Brazil,Brazil,78,38,48.72,8.6,131,47,8892,45,2.91,31.34
gitignore,https://github.com/github/gitignore,spdegabrielle,https://github.com/spdegabrielle,"Ealing, UK",United Kingdom,136,67,49.26,7.34,310,32,879,46,6.74,5.78
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,gklab,https://github.com/gklab,HangZhou,China,147,75,51.02,2.57,205,13,7161,59,3.47,24.55
awesome,https://github.com/sindresorhus/awesome,Friz-zy,https://github.com/Friz-zy,Poland,Poland,74,37,50.0,12.21,90,13,2624,11,8.18,13.2
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,femincan,https://github.com/femincan,Turkiye,Turkey,11,7,63.64,0.69,21,13,1927,20,1.05,39.88
vscode,https://github.com/microsoft/vscode,initialshl,https://github.com/initialshl,"Mountain View, CA",Canada,143,59,41.26,4.68,179,46,4191,1,179.0,20.13
gitignore,https://github.com/github/gitignore,sayedihashimi,https://github.com/sayedihashimi,"Seattle, WA",United States,106,45,42.45,5.93,45,43,6187,46,0.98,6.01
awesome,https://github.com/sindresorhus/awesome,ildoc,https://github.com/ildoc,Italy,Italy,47,34,72.34,2.22,88,32,8801,11,8.0,38.13
vscode,https://github.com/microsoft/vscode,hamirmahal,https://github.com/hamirmahal,San Francisco Bay Area,United States,35,13,37.14,4.03,63,13,3374,13,4.85,36.1
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,didier-durand,https://github.com/didier-durand,Switzerland / France,France,93,55,59.14,8.19,224,48,6591,26,8.62,1.62
free-programming-books,https://github.com/EbookFoundation/free-programming-books,waltzbucks,https://github.com/waltzbucks,"Seoul, South Korea","Korea, Republic of",70,34,48.57,5.26,93,6,3315,17,5.47,10.28
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,feuvpi,https://github.com/feuvpi,United States,United States,88,66,75.0,11.45,207,37,1500,8,25.88,49.07
gitignore,https://github.com/github/gitignore,meisam,https://github.com/meisam,California,United States,111,44,39.64,1.82,110,11,476,56,1.96,23.38
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,sagarishere,https://github.com/sagarishere,Åland,India,23,15,65.22,10.72,16,19,3694,51,0.31,4.16
awesome,https://github.com/sindresorhus/awesome,airscripts,https://github.com/airscripts,Italy,Italy,106,43,40.57,8.32,135,47,6099,37,3.65,3.66
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,eihabkhan,https://github.com/eihabkhan,"Rabat, Morocco",Morocco,64,31,48.44,8.25,56,6,6719,13,4.31,16.82
vscode,https://github.com/microsoft/vscode,nknguyenhc,https://github.com/nknguyenhc,Singapore,Singapore,128,22,17.19,7.1,81,27,8067,31,2.61,18.04
gitignore,https://github.com/github/gitignore,mviranyi,https://github.com/mviranyi,Berlin,Germany,144,54,37.5,1.47,267,49,1463,32,8.34,29.24
awesome,https://github.com/sindresorhus/awesome,frenck,https://github.com/frenck,"Enschede, The Netherlands",Netherlands,57,35,61.4,0.82,175,41,4878,12,14.58,42.75
vue,https://github.com/vuejs/vue,bluemsn,https://github.com/bluemsn,HangZhou,China,50,12,24.0,8.71,12,43,6652,8,1.5,1.66
gitignore,https://github.com/github/gitignore,kevmoo,https://github.com/kevmoo,"Seattle, WA, USA",United States,20,2,10.0,3.52,3,21,8612,1,3.0,37.47
free-programming-books,https://github.com/EbookFoundation/free-programming-books,c02kr,https://github.com/c02kr,INDIA,India,106,32,30.19,7.24,72,48,4285,38,1.89,0.13
awesome,https://github.com/sindresorhus/awesome,briatte,https://github.com/briatte,"Lille / Paris, France",France,135,50,37.04,1.81,148,49,7541,46,3.22,41.96
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,esa-kian,https://github.com/esa-kian,Finland,Finland,147,11,7.48,5.13,41,14,438,25,1.64,23.09
gitignore,https://github.com/github/gitignore,kkostrzewa-coupa,https://github.com/kkostrzewa-coupa,"Kalamazoo, Michigan, USA",United States,60,24,40.0,6.6,28,37,6461,8,3.5,38.08
awesome,https://github.com/sindresorhus/awesome,francoism90,https://github.com/francoism90,Netherlands,Netherlands,118,23,19.49,6.34,51,43,936,24,2.12,28.38
vscode,https://github.com/microsoft/vscode,mjcrouch,https://github.com/mjcrouch,"Surrey, UK",United Kingdom,113,20,17.7,12.59,66,39,1696,43,1.53,18.1
gitignore,https://github.com/github/gitignore,saschanaz,https://github.com/saschanaz,"Berlin, Germany",Germany,114,79,69.3,3.14,329,29,1942,8,41.12,33.89
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,gersh,https://github.com/gersh,"San Francisco, CA",Canada,25,14,56.0,9.63,27,40,6778,1,27.0,25.4
free-programming-books,https://github.com/EbookFoundation/free-programming-books,alinadir44,https://github.com/alinadir44,Karachi,پاکستان,105,65,61.9,7.95,280,48,572,60,4.67,33.68
awesome,https://github.com/sindresorhus/awesome,ForNeVeR,https://github.com/ForNeVeR,Netherlands,Netherlands,122,25,20.49,13.21,89,24,9685,19,4.68,49.64
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,uinstinct,https://github.com/uinstinct,India,India,106,35,33.02,4.17,162,3,6269,13,12.46,41.98
vscode,https://github.com/microsoft/vscode,RishabhKothaari,https://github.com/RishabhKothaari,Redmond,United States,109,44,40.37,8.53,111,47,8490,29,3.83,19.25
vue,https://github.com/vuejs/vue,sandersn,https://github.com/sandersn,Seattle,United States,67,52,77.61,8.38,119,28,1282,23,5.17,13.75
gitignore,https://github.com/github/gitignore,jean,https://github.com/jean,Bangkok,Italy,114,32,28.07,12.16,41,45,2125,17,2.41,12.07
awesome,https://github.com/sindresorhus/awesome,davidsonfellipe,https://github.com/davidsonfellipe,"New York, NY",United States,127,21,16.54,8.61,21,35,4471,44,0.48,15.74
vue,https://github.com/vuejs/vue,pi0,https://github.com/pi0,Netherlands,Netherlands,59,41,69.49,8.92,126,1,7224,52,2.42,27.7
gitignore,https://github.com/github/gitignore,fidmor89,https://github.com/fidmor89,Guatemala,Guatemala,9,7,77.78,7.59,18,14,3537,13,1.38,46.25
free-programming-books,https://github.com/EbookFoundation/free-programming-books,shabab477,https://github.com/shabab477,"Amsterdam, Netherlands",Netherlands,149,24,16.11,3.02,101,7,6669,39,2.59,34.83
awesome,https://github.com/sindresorhus/awesome,deanhume,https://github.com/deanhume,Devon,United Kingdom,71,51,71.83,11.04,172,14,3424,4,43.0,4.37
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,JayaramRangaraj,https://github.com/JayaramRangaraj,India,India,1,0,0.0,3.45,0,1,1693,3,0.0,20.38
vscode,https://github.com/microsoft/vscode,smcenlly,https://github.com/smcenlly,"Gold Coast, Australia",Australia,133,29,21.8,12.24,86,40,7075,14,6.14,46.23
gitignore,https://github.com/github/gitignore,DenJohX,https://github.com/DenJohX,Guatemala,Guatemala,120,35,29.17,9.24,103,44,7075,48,2.15,42.54
stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,galekseev,https://github.com/galekseev,"Montevideo, Uruguay",Uruguay,35,28,80.0,7.06,133,50,7774,17,7.82,39.13
vscode,https://github.com/microsoft/vscode,rudi-c,https://github.com/rudi-c,NYC,United States,148,36,24.32,11.55,53,3,346,12,4.42,2.25
gitignore,https://github.com/github/gitignore,denisdefreyne,https://github.com/denisdefreyne,"Berlin, Germany",Germany,137,14,10.22,9.71,52,20,6418,20,2.6,29.59
